category,location_type,context,outcome_status,persistent_id,id,location_subtype,month,location.latitude,location.street.id,location.street.name,location.longitude,outcome_status.category,outcome_status.date
other-theft,Force,,,1e866e5296481a15f944d51fa686c7d2c548c12a7eb3b63c0491bdc03ed833b5,115397408,,2023-12,52.635528,1738700,On or near Theatre/concert Hall,-1.127553,Investigation complete; no suspect identified,2024-01
other-theft,Force,,,0727e43a596a80dfa47392046109f8327826d5d16f4de0ac9b159bcfa5c2e295,115402123,,2023-12,52.629864,1739236,On or near Petrol Station,-1.115038,Investigation complete; no suspect identified,2024-01
other-theft,Force,,,194d7c49df741c041149c603a8364cc11055626a215e01e4d5be4782de2531c9,115396906,,2023-12,52.642049,1738480,On or near Navigation Street,-1.131256,Unable to prosecute suspect,2024-01
other-theft,Force,,,d0e7cc3d10af2017a29dabdf3c6561b9f9c977ff1be8840c31d3ace92f6a4932,115389385,,2023-12,52.637740,1738170,On or near Church Gate,-1.134563,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,5b4145457e94bbd724320e0a8686ede4d50220084b81c69aef642e4935677d00,115396075,,2023-12,52.632534,1738358,On or near Market Street,-1.133232,Unable to prosecute suspect,2024-03
other-theft,Force,,,0a90fd1c93566a019717d53f7da38bccfb073e506d5ef898473de492eab381c0,115389860,,2023-12,52.640498,1737983,On or near St Margaret's Street,-1.136799,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,1191e5ebe1fe70aefeaec11d05ec5cc1496060b59ae8b95b7b96a483a78f2d1c,115390469,,2023-12,52.643191,1738592,On or near Memory Lane,-1.128869,Investigation complete; no suspect identified,2024-01
other-theft,Force,,,ee9220a4e6979c39881a76f6c6ee6d2bed369cb5aae03c9ae2f09c09545c4391,115389397,,2023-12,52.640513,1738601,On or near Gower Street,-1.128966,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,101c7decdfe87c26b8b57884606f114851dd5299e881825c5aa648d01757c55a,115389050,,2023-12,52.631876,1739078,On or near Moon Close,-1.119593,Formal action is not in the public interest,2023-12
other-theft,Force,,,ffbd62eefff5707b523a4c348d6a4357f2028485b4b65fcac2be5aff6ae96873,115388808,,2023-12,52.639495,1738628,On or near Dryden Street,-1.128735,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,a561891d43af3ea344a4ffd285c051fcc5982c8f458ba22de60a0f281280c6e9,115388792,,2023-12,52.633317,1738721,On or near Church Street,-1.127203,Unable to prosecute suspect,2023-12
other-theft,Force,,,38e06867009a84d0790876d42973de0ec8048bd4020a354c62a5178865914cbc,115391778,,2023-12,52.627299,1737468,On or near Norman Street,-1.148966,Investigation complete; no suspect identified,2024-01
other-theft,Force,,,e14ba18d4f11b4e2eace5e4969bfbf64825bcc32d27c17cdb312391a3aa6002d,115389872,,2023-12,52.639558,1738364,On or near Nightclub,-1.132473,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,02cda6b6bf0409b923d0a6591942a284c6ccf8b9700bbcf89ed78171b8c30945,115389823,,2023-12,52.621217,1737965,On or near Pavilion Close,-1.138404,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,a67db07e951493d92e05a1a80112de0bc104481d18ce2f58f75894cd71067f1f,115393595,,2023-12,52.631813,1738223,On or near Newarke Street,-1.135537,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,0706fe79af8cc35daf791e6fe5d3d67766ccf657dc91d3a79c3f4e592a74be94,115396854,,2023-12,52.635528,1738700,On or near Theatre/concert Hall,-1.127553,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,0315b9434e52f0cb643f20e30219fe794fcf28cc35d08cb0d7c5aa79301453cc,115397430,,2023-12,52.634406,1738400,On or near Nightclub,-1.132309,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,88429e945841bfbf33212f0d1c062facbd7d633abed41ccbdebb0755be477bee,115384806,,2023-12,52.637581,1738327,On or near Parking Area,-1.133709,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,2a79851f0fcefabaeb61167634ae4d6f1dc860b80df210b303b1d15b4ecf3da5,115396826,,2023-12,52.633879,1738375,On or near Horsefair Street,-1.132821,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,48dca2a032a27bc89697971859075851f3f6e95973a4a1b3f14caa9e73d1b28b,115384975,,2023-12,52.628717,1737809,On or near Mill Lane,-1.142394,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,7e470df0bb75a300bd08b3ca763f133aa6d24539d5a51efd337f8a47bd87505b,115399192,,2023-12,52.633879,1738375,On or near Horsefair Street,-1.132821,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,147a6b81683fc682d74f35339e3e7addc98d8ae18a8cbfc85446fda147385164,115396081,,2023-12,52.633274,1738832,On or near Fox Street,-1.125120,Investigation complete; no suspect identified,2023-12
